Commuter,Casual,Tourist/Visitor,Concession/Student,hour,event
0.5161906,0.16459507,0.19204013,0.12717421,12.0,True
0.51471615,0.16740714,0.18986915,0.12800744,12.5,True
0.5133449,0.17027955,0.18759605,0.12877952,12.5,True
0.51176715,0.17406912,0.18451847,0.12964526,12.5,True
0.5102175,0.17805907,0.18126321,0.1304602,13.0,True
0.5087395,0.18211792,0.17794521,0.13119732,13.0,True
0.5072796,0.18646674,0.17443612,0.13181753,13.0,True
0.50581217,0.19116524,0.17071706,0.13230546,13.5,True
0.50459677,0.19578898,0.16696733,0.13264702,13.5,True
0.5039452,0.20010784,0.16319072,0.13275632,13.5,True
0.50332636,0.20447186,0.15941712,0.1327846,14.0,True
0.50274134,0.20887084,0.1556562,0.13273159,14.0,True
0.50220215,0.21329969,0.15190685,0.13259126,14.0,True
0.50190926,0.21785074,0.14798965,0.13225032,14.5,True
0.50180376,0.22227873,0.1441469,0.1317706,14.5,True
0.50232023,0.22619551,0.14047824,0.13100599,14.5,True
0.5022412,0.2301975,0.13728024,0.13028106,15.0,True
0.502227,0.23416287,0.13412406,0.12948617,15.0,True
0.502279,0.23808008,0.1310163,0.1286245,15.0,True
0.50239927,0.24193797,0.12796317,0.12769957,15.5,True
0.5025896,0.24572492,0.12497041,0.1267151,15.5,True
0.50284094,0.2494843,0.12201829,0.12565641,15.5,True
0.50305915,0.25363803,0.11892128,0.124381535,16.0,True
0.5033386,0.25769556,0.11590665,0.123059176,16.0,True
0.5036386,0.26188698,0.1128648,0.12160959,16.0,True
0.5039189,0.26636812,0.10973122,0.119981796,16.5,True
0.5042541,0.2707069,0.106709726,0.118329294,16.5,True
0.50510025,0.27429944,0.103995055,0.11660529,16.5,True
0.50638634,0.27731553,0.10150586,0.11479235,17.0,True
0.5083435,0.27949455,0.09930871,0.11285326,17.0,True
0.51039696,0.28146684,0.09720831,0.11092793,17.0,True
0.5125476,0.28322592,0.0952052,0.10902118,17.5,True
0.5147965,0.28476653,0.0932995,0.10713749,17.5,True
0.5175596,0.28574133,0.09149169,0.105207466,17.5,True
0.5206601,0.28629,0.089780614,0.10326932,18.0,True
0.52389294,0.28657818,0.08816537,0.10136353,18.0,True
0.52725583,0.28660554,0.08664517,0.09949346,18.0,True
0.5307461,0.2863727,0.08521912,0.09766211,18.5,True
0.53436023,0.2858813,0.08388624,0.09587221,18.5,True
0.5380943,0.28513402,0.082645476,0.09412619,18.5,True
0.5419436,0.28413454,0.08149572,0.092426136,19.0,True
0.5459031,0.28288734,0.0804358,0.09077384,19.0,True
0.5499666,0.28139803,0.079464555,0.08917087,19.0,True
0.55421704,0.27952805,0.078633405,0.087621555,19.5,True
0.5585614,0.27742553,0.077889405,0.086123735,19.5,True
0.5629874,0.27510536,0.07722912,0.084678106,19.5,True
0.5674863,0.2725768,0.07665157,0.0832853,20.0,True
0.57204854,0.2698498,0.07615581,0.08194583,20.0,True
0.57666415,0.26693487,0.07574092,0.08065999,20.0,True
0.58132255,0.2638432,0.07540612,0.079428084,20.5,True
0.58601296,0.26058626,0.07515065,0.078250125,20.5,True
0.5907237,0.25717613,0.07497394,0.077126175,20.5,True
0.59544325,0.25362518,0.07487542,0.07605615,21.0,True
0.6001594,0.24994597,0.07485463,0.07503992,21.0,True
0.6048599,0.24615145,0.07491126,0.07407732,21.0,True
0.60953236,0.24225451,0.07504504,0.07316809,21.5,True
0.6141639,0.23826829,0.075255856,0.072312035,21.5,True
0.61874187,0.23420559,0.075543635,0.07150882,21.5,True
0.62325376,0.23007958,0.07590848,0.070758194,22.0,True
0.62768686,0.22590277,0.07635055,0.07005983,22.0,True
0.63202864,0.22168785,0.07687006,0.069413476,22.0,True
0.63626677,0.21744695,0.07746741,0.06881885,22.5,True
0.6403892,0.21319212,0.07814296,0.068275675,22.5,True
0.6443842,0.20893475,0.0788973,0.06778371,22.5,True
0.64824045,0.20468582,0.07973094,0.06734271,23.0,True
0.6013112,0.13217351,0.17681585,0.0896994,8.0,True
0.5976511,0.13281104,0.17862348,0.090914354,8.0,True
0.59398615,0.13352184,0.18034396,0.09214804,8.0,True
0.5903244,0.13430579,0.1819713,0.09339847,8.5,True
0.58667374,0.13516289,0.18349986,0.094663605,8.5,True
0.5830418,0.1360929,0.18492413,0.0959412,8.5,True
