epoch,train_loss,val_loss,lr,grad_norm_max,secs,improved,patience,timestamp,model
52,0.1096422365733555,0.0990918390452861,0.0003,0.2438395619392395,15.0,True,0,2026-07-30T14:21:43,TDAG-Net (persona-split)
53,0.1095765642412416,0.1014573854895738,0.0003,0.3087248802185058,14.9,False,1,2026-07-30T14:21:58,TDAG-Net (persona-split)
54,0.1098560886559905,0.0983191662682936,0.0003,0.3848680853843689,15.0,True,0,2026-07-30T14:22:13,TDAG-Net (persona-split)
55,0.1099843543636929,0.0983377519872162,0.0003,0.4875703155994415,14.9,False,1,2026-07-30T14:22:28,TDAG-Net (persona-split)
56,0.1092741581928599,0.0979800731926174,0.0003,0.372689813375473,14.9,True,0,2026-07-30T14:22:43,TDAG-Net (persona-split)
57,0.1092909660149406,0.0979336201325877,0.0003,0.3919263482093811,14.9,True,0,2026-07-30T14:22:58,TDAG-Net (persona-split)
58,0.1091492114650024,0.0995944785875278,0.0003,0.3458955585956573,14.9,False,1,2026-07-30T14:23:13,TDAG-Net (persona-split)
59,0.108789703970427,0.0978093149324694,0.0003,0.3555155992507934,15.0,True,0,2026-07-30T14:23:28,TDAG-Net (persona-split)
60,0.1090603747210659,0.1067483723163604,0.0003,0.3845049440860748,14.9,False,1,2026-07-30T14:23:43,TDAG-Net (persona-split)
61,0.1090073934295675,0.0987411057883566,0.0003,0.5384203195571899,14.9,False,2,2026-07-30T14:23:58,TDAG-Net (persona-split)
62,0.1084556558138721,0.0971924556562533,0.0003,0.4020137786865234,15.0,True,0,2026-07-30T14:24:13,TDAG-Net (persona-split)
63,0.1083732257505039,0.1013192931538099,0.0003,0.3457607924938202,14.9,False,1,2026-07-30T14:24:28,TDAG-Net (persona-split)
64,0.1081591948375597,0.0975543637197096,0.0003,0.3842430114746094,14.9,False,2,2026-07-30T14:24:43,TDAG-Net (persona-split)
65,0.1082497690896411,0.0977102413282289,0.0003,0.4036887884140014,14.9,False,3,2026-07-30T14:24:57,TDAG-Net (persona-split)
66,0.1083886464873513,0.0979004906756537,0.0003,0.3812824785709381,14.8,False,4,2026-07-30T14:25:12,TDAG-Net (persona-split)
